               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086622,            0.019849,            0.016712,             0.53876,             0.48148,             0.45827,             0.17669,            0.055652,           0.0092154,           0.0017536,            0.070079,           0.0033245,           0.0033245
                   1,            0.064726,            0.016843,           0.0062532,             0.61219,             0.55556,             0.57387,             0.25046,            0.049826,           0.0072904,           0.0013219,            0.039948,            0.006526,            0.006526
                   2,            0.061563,            0.016212,           0.0058095,             0.77778,             0.57407,             0.62897,              0.2671,             0.04986,           0.0072675,          0.00091726,           0.0096837,           0.0095955,           0.0095955
                   3,            0.058906,            0.016367,           0.0054724,             0.76689,             0.53704,             0.63529,             0.28598,            0.047127,           0.0074195,            0.001311,            0.009406,            0.009406,            0.009406
                   4,            0.056013,            0.015711,           0.0049617,             0.74295,             0.62889,             0.70497,             0.33766,            0.042904,           0.0069681,          0.00081317,            0.009406,            0.009406,            0.009406
                   5,            0.054325,            0.015446,           0.0043339,             0.82361,             0.69176,             0.78525,             0.36536,            0.041579,            0.006613,          0.00057708,            0.009208,            0.009208,            0.009208
                   6,            0.053197,            0.015174,            0.004228,             0.82167,             0.68981,             0.78182,             0.38107,            0.039833,           0.0064156,          0.00027769,             0.00901,             0.00901,             0.00901
                   7,            0.051797,            0.014949,           0.0036755,             0.81814,             0.66649,             0.75513,             0.36042,            0.042002,            0.006609,          0.00058743,            0.008812,            0.008812,            0.008812
                   8,            0.051282,            0.014908,           0.0036874,             0.84895,             0.68981,             0.79539,             0.39833,            0.038655,           0.0062145,          0.00019325,            0.008614,            0.008614,            0.008614
                   9,            0.050702,            0.014733,           0.0035917,             0.85874,             0.75992,             0.83179,             0.42738,            0.039102,           0.0060977,          0.00026929,            0.008416,            0.008416,            0.008416
                  10,            0.049514,            0.014556,           0.0031854,             0.86736,             0.75686,             0.85141,             0.45233,            0.036845,           0.0061488,          0.00026025,            0.008218,            0.008218,            0.008218
                  11,            0.049315,            0.014564,           0.0031954,              0.8179,              0.7694,             0.83804,             0.44534,             0.03586,           0.0060367,          0.00018862,             0.00802,             0.00802,             0.00802
                  12,            0.048569,            0.014297,           0.0029662,             0.86355,              0.7963,             0.85837,             0.46062,            0.036318,            0.005836,          0.00021715,            0.007822,            0.007822,            0.007822
                  13,            0.047799,            0.014074,             0.00303,             0.90094,             0.76389,             0.83309,             0.44507,            0.036164,           0.0057553,          0.00023742,            0.007624,            0.007624,            0.007624
                  14,            0.047442,            0.013791,             0.00288,             0.86347,             0.76389,             0.84952,             0.46546,            0.035931,            0.006002,          0.00017541,            0.007426,            0.007426,            0.007426
                  15,            0.047491,            0.013871,           0.0029549,              0.8632,             0.75926,             0.85954,             0.46356,            0.036041,           0.0059059,          0.00021578,            0.007228,            0.007228,            0.007228
                  16,            0.046462,            0.013608,           0.0027672,             0.84335,             0.80093,             0.83959,             0.45365,            0.035865,           0.0060173,          0.00022304,             0.00703,             0.00703,             0.00703
                  17,            0.046433,            0.013702,           0.0027964,             0.88521,             0.79167,             0.88384,             0.47139,            0.035526,           0.0056565,          0.00024768,            0.006832,            0.006832,            0.006832
                  18,            0.045725,            0.013706,           0.0023849,             0.86776,             0.78241,             0.86377,             0.48255,            0.035166,           0.0057221,          0.00017255,            0.006634,            0.006634,            0.006634
                  19,            0.045811,            0.013702,           0.0024925,             0.88885,             0.80556,             0.86794,             0.47839,            0.034782,            0.005637,          0.00024011,            0.006436,            0.006436,            0.006436
                  20,             0.04542,            0.013694,           0.0024957,             0.84294,             0.80556,             0.87372,              0.4795,            0.034937,           0.0056197,          0.00014262,            0.006238,            0.006238,            0.006238
                  21,            0.045156,            0.013729,           0.0023938,             0.90763,              0.8188,             0.88693,             0.48073,            0.034465,           0.0054447,          0.00016339,             0.00604,             0.00604,             0.00604
                  22,            0.044593,            0.013591,           0.0022732,             0.87324,             0.81481,             0.89811,             0.48559,            0.033344,           0.0055902,          0.00012088,            0.005842,            0.005842,            0.005842
                  23,            0.044237,            0.013255,           0.0022169,             0.84799,             0.81944,             0.87617,             0.46824,            0.034768,           0.0056746,          0.00011092,            0.005644,            0.005644,            0.005644
                  24,            0.043787,            0.013432,           0.0023264,             0.81743,             0.83333,             0.86825,             0.47574,            0.034165,            0.005695,          9.0679e-05,            0.005446,            0.005446,            0.005446
                  25,            0.043123,            0.013076,           0.0020825,             0.82301,             0.83962,             0.87374,             0.48332,            0.035136,            0.005518,          0.00011095,            0.005248,            0.005248,            0.005248
                  26,            0.042905,            0.013247,           0.0020475,             0.87611,             0.78574,             0.86613,             0.49378,            0.034599,           0.0055856,          8.9617e-05,             0.00505,             0.00505,             0.00505
                  27,            0.042662,            0.012989,           0.0019931,             0.90835,              0.8259,              0.9016,             0.50119,            0.033746,            0.005428,          7.5851e-05,            0.004852,            0.004852,            0.004852
                  28,             0.04219,            0.012946,            0.001864,             0.86303,              0.8751,             0.90642,             0.49318,            0.033751,           0.0054225,          9.9049e-05,            0.004654,            0.004654,            0.004654
